american-pie,0.997467
the-goonies,0.684678
natural-born-killers,0.636993
shrek-the-third,0.633703
battleship,0.615985
the-haunting-of-molly-hartley,0.56995
maria-full-of-grace,0.521353
punch-drunk-love,0.511471
the-one,0.505195
spirit-stallion-of-the-cimarron,0.495253
the-village,0.482594
you-got-served,0.480065
the-vatican-tapes,0.479807
black-hawk-down,0.427394
apollo-18,0.407339
thirteen-ghosts,0.376553
abraham-lincoln-vampire-hunter,0.364986
forrest-gump,0.358775
borgman,0.358593
scary-movie-3,0.356526
bowling-for-columbine,0.355721
mambo-italiano,0.354313
loser,0.349584
club-dread,0.348143
bruno,0.347916
sin-city-a-dame-to-kill-for,0.344132
blade,0.342437
king-arthur,0.33844
tamara,0.337555
wish-you-were-here,0.330036
wall-e,0.325813
mcfarland-usa,0.325771
half-nelson,0.318726
back-to-the-future-part-ii,0.314423
philadelphia,0.312925
a-christmas-story,0.312884
jobs,0.310477
star-trek-first-contact,0.30595
this-is-the-end,0.304933
swept-away,0.304052
murderball,0.303329
the-color-of-money,0.301798
tae-guk-gi-the-brotherhood-of-war,0.300142
the-purge-anarchy,0.294266
everybodys-fine,0.291977
volver,0.285582
man-of-steel,0.285249
the-green-mile,0.284734
the-sitter,0.283063
american-wedding,0.279465
